UID,Chemical,Time,Temperature,P2O3ratio,Cat_Success
U00291,Na0.5Cu7/18Mn7/18Fe1/9Ni1/9O2,6,950,1.0,Successful
U00292,NaMn2/3Cu1/6Fe1/6O2,3,950,1.0,Successful
U00293,NaNi2/3Fe1/6Cu1/6O2,3,950,-1.0,Unsuccessful
U00294,NaMn2/3Ni1/6Cu1/6O2,3,950,1.0,Successful
U00295,NaMn2/3Fe1/6Ni1/6O2,3,950,1.0,Successful
U00296,NaFe2/3Cu1/6Mn1/6O2,3,950,0.0,Successful
U00297,NaFe2/3Cu1/6Ni1/6O2,3,950,-1.0,Unsuccessful
U00298,NaNi2/3Cu1/6Mn1/6O2,3,950,1.0,Successful
U00299,NaFe2/3Ni1/6Mn1/6O2,3,950,0.0,Successful
U00300,NaCu2/3Fe1/6Mn1/6O2,3,950,1.0,Successful
U00301,NaCu2/3Ni1/6Fe1/6O2,3,950,-1.0,Unsuccessful
U00302,NaCu2/3Ni1/6Mn1/6O2,3,950,1.0,Successful
U00303,NaNi2/3Fe1/6Mn1/6O2,3,950,0.18,Successful
U00304,NaCu2/3Ni1/9Mn1/9Fe1/9O2,3,950,1.0,Successful
U00305,NaFe2/3Cu1/9Mn1/9Ni1/9O2,3,950,0.0,Successful
U00306,NaNi2/3Fe1/9Cu1/9Mn1/9O2,3,950,0.52,Successful
U00307,NaMn2/3Cu1/9Fe1/9Ni1/9O2,3,950,1.0,Successful
U00308,NaMn1/9Cu8/27Fe8/27Ni8/27O2,3,950,0.0,Successful
U00309,NaNi1/9Cu8/27Fe8/27Mn8/27O2,3,950,-1.0,Unsuccessful
U00310,NaFe1/9Mn8/27Cu8/27Ni8/27O2,3,950,1.0,Successful
U00311,NaCu1/9Mn8/27Fe8/27Ni8/27O2,3,950,1.0,Successful
U00312,NaFe7/18Ni7/18Cu1/9Mn1/9O2,3,950,1.0,Successful
U00313,NaCu7/18Ni7/18Fe1/9Mn1/9O2,3,950,-1.0,Unsuccessful
U00314,NaFe7/18Mn7/18Cu1/9Ni1/9O2,3,950,1.0,Successful
U00315,NaCu7/18Fe7/18Mn1/9Ni1/9O2,3,950,-1.0,Unsuccessful
U00316,NaMn7/18Ni7/18Fe1/9Cu1/9O2,3,950,1.0,Successful
U00317,NaCu7/18Mn7/18Fe1/9Ni1/9O2,3,950,1.0,Successful
U00318,Na0.75Mn2/3Cu1/6Fe1/6O2,3,950,1.0,Successful
U00319,Na0.75Ni2/3Fe1/6Cu1/6O2,3,950,-1.0,Unsuccessful
U00320,Na0.75Mn2/3Ni1/6Cu1/6O2,3,950,1.0,Successful
U00321,Na0.75Mn2/3Fe1/6Ni1/6O2,3,950,1.0,Successful
U00322,Na0.75Fe2/3Cu1/6Mn1/6O2,3,950,0.0,Successful
U00323,Na0.75Fe2/3Cu1/6Ni1/6O2,3,950,-1.0,Unsuccessful
U00324,Na0.75Ni2/3Cu1/6Mn1/6O2,3,950,1.0,Successful
U00325,Na0.75Fe2/3Ni1/6Mn1/6O2,3,950,0.0,Successful
U00326,Na0.75Cu2/3Fe1/6Mn1/6O2,3,950,0.64,Successful
U00327,Na0.75Cu2/3Ni1/6Fe1/6O2,3,950,-1.0,Unsuccessful
U00328,Na0.75Cu2/3Ni1/6Mn1/6O2,3,950,1.0,Successful
U00329,Na0.75Ni2/3Fe1/6Mn1/6O2,3,950,0.36,Successful
U00330,Na0.75Cu2/3Ni1/9Mn1/9Fe1/9O2,3,950,0.4,Successful
U00331,Na0.75Fe2/3Cu1/9Mn1/9Ni1/9O2,3,950,0.0,Successful
U00332,Na0.75Ni2/3Fe1/9Cu1/9Mn1/9O2,3,950,-1.0,Unsuccessful
U00333,Na0.75Mn2/3Cu1/9Fe1/9Ni1/9O2,3,950,1.0,Successful
U00334,Na0.75Mn1/9Cu8/27Fe8/27Ni8/27O2,3,950,-1.0,Unsuccessful
U00335,Na0.75Ni1/9Cu8/27Fe8/27Mn8/27O2,3,950,0.0,Successful
U00336,Na0.75Fe1/9Mn8/27Cu8/27Ni8/27O2,3,950,1.0,Successful
U00337,Na0.75Cu1/9Mn8/27Fe8/27Ni8/27O2,3,950,0.48,Successful
U00338,Na0.75Fe7/18Ni7/18Cu1/9Mn1/9O2,3,950,0.0,Successful
U00339,Na0.75Cu7/18Ni7/18Fe1/9Mn1/9O2,3,950,-1.0,Unsuccessful
U00340,Na0.75Fe7/18Mn7/18Cu1/9Ni1/9O2,3,950,0.66,Successful
U00341,Na0.75Cu7/18Fe7/18Mn1/9Ni1/9O2,3,950,0.0,Successful
U00342,Na0.75Mn7/18Ni7/18Fe1/9Cu1/9O2,3,950,0.87,Successful
U00343,Na0.75Cu7/18Mn7/18Fe1/9Ni1/9O2,3,950,1.0,Successful
U00344,Na0.5Mn2/3Cu1/6Fe1/6O2,3,950,1.0,Successful
U00345,Na0.5Ni2/3Fe1/6Cu1/6O2,3,950,-1.0,Unsuccessful
U00346,Na0.5Mn2/3Ni1/6Cu1/6O2,3,950,1.0,Successful
U00347,Na0.5Mn2/3Fe1/6Ni1/6O2,3,950,1.0,Successful
U00348,Na0.5Fe2/3Cu1/6Mn1/6O2,3,950,0.0,Successful
U00349,Na0.5Fe2/3Cu1/6Ni1/6O2,3,950,-1.0,Unsuccessful
U00350,Na0.5Ni2/3Cu1/6Mn1/6O2,3,950,1.0,Successful
U00351,Na0.5Fe2/3Ni1/6Mn1/6O2,3,950,0.0,Successful
U00352,Na0.5Cu2/3Fe1/6Mn1/6O2,3,950,0.53,Successful
U00353,Na0.5Cu2/3Ni1/6Fe1/6O2,3,950,-1.0,Unsuccessful
U00354,Na0.5Cu2/3Ni1/6Mn1/6O2,3,950,0.0,Successful
U00355,Na0.5Ni2/3Fe1/6Mn1/6O2,3,950,1.0,Successful
U00356,Na0.5Cu2/3Ni1/9Mn1/9Fe1/9O2,3,950,0.57,Successful
U00357,Na0.5Fe2/3Cu1/9Mn1/9Ni1/9O2,3,950,0.0,Successful
U00358,Na0.5Ni2/3Fe1/9Cu1/9Mn1/9O2,3,950,-1.0,Unsuccessful
U00359,Na0.5Mn2/3Cu1/9Fe1/9Ni1/9O2,3,950,1.0,Successful
U00360,Na0.5Mn1/9Cu8/27Fe8/27Ni8/27O2,3,950,-1.0,Unsuccessful
U00361,Na0.5Ni1/9Cu8/27Fe8/27Mn8/27O2,3,950,0.5,Successful
U00362,Na0.5Fe1/9Mn8/27Cu8/27Ni8/27O2,3,950,0.72,Successful
U00363,Na0.5Cu1/9Mn8/27Fe8/27Ni8/27O2,3,950,0.45,Successful
U00364,Na0.5Fe7/18Ni7/18Cu1/9Mn1/9O2,3,950,0.0,Successful
U00365,Na0.5Cu7/18Ni7/18Fe1/9Mn1/9O2,3,950,-1.0,Unsuccessful
U00366,Na0.5Fe7/18Mn7/18Cu1/9Ni1/9O2,3,950,0.52,Successful
U00367,Na0.5Cu7/18Fe7/18Mn1/9Ni1/9O2,3,950,0.0,Successful
U00368,Na0.5Mn7/18Ni7/18Fe1/9Cu1/9O2,3,950,0.83,Successful
U00369,Na0.5Cu7/18Mn7/18Fe1/9Ni1/9O2,3,950,1.0,Successful
D00001,Na0.72Fe0.42Mn0.40Ti0.09Al0.09O2,12,900,1,Successful
D00002,Na0.72Fe0.42Mn0.40Ti0.10Mg0.08O2,12,900,0.86,Successful
D00003,Na0.73Fe0.40Mn0.40Ti0.09Cu0.11O2,12,900,0.83,Successful
D00004,Na0.77Fe0.43Mn0.40Ti0.10Al0.07O2,12,900,0.27,Successful
D00005,Na0.76Fe0.42Mn0.40Ti0.10Mg0.08O2,12,900,0.11,Successful
D00006,Na0.76Fe0.40Mn0.39Ti0.09Cu0.11O2,12,900,0,Successful
D00007,Na0.76Fe0.43Mn0.40Ti0.10Mg0.08O2,12,900,0.06,Successful
D00008,Na0.76Fe0.40Mn0.41Ti0.09Cu0.11O2,12,900,0.47,Successful
D00009,Na0.73Fe0.41Mn0.40Ti0.09Zn0.1O2,12,900,0.07,Successful
D00010,Na0.75Fe0.41Mn0.40Ti0.09Al0.1O2,12,900,0.82,Successful
D00011,Na0.82Fe0.41Mn0.43Ti0.09Si0.07O2,12,900,1,Successful
D00012,Na0.73Fe0.51Mn0.49O2,12,900,0.55,Successful
D00013,Na0.74Fe0.46Mn0.45Ti0.09O2,12,900,0.53,Successful
D00014,Na0.67Cu0.3Fe0.2Mn0.5O2,12,900,1,Successful
D00015,Na0.67Cu0.25Mg0.05Fe0.2Mn0.5O2,13,900,0.74,Successful
D00016,Na0.67Cu0.2Mg0.1Fe0.2Mn0.5O2,14,900,0.79,Successful
D00017,Na0.67Cu0.15Mg0.15Fe0.2Mn0.5O2,15,900,0.82,Successful
D00018,Na0.76Ni0.20Mn0.42Fe0.30Mg0.04Ti0.015Zr0.025O2,24,950,0.18,Successful
D00019,Na0.76Ni0.20Fe0.40Mn0.40O2,24,950,0.18,Successful
D00020,Na0.60Ni0.20Fe0.40Mn0.40O2,24,950,1,Successful
D00021,Na0.84Ni0.20Fe0.40Mn0.40O2,24,950,0,Successful
D00022,Na0.67Ni0.33Mn0.67O2,20,900,1,Successful
D00023,Na0.66Li0.18Mn0.8Fe0.2O2,6,1000,1,Successful
D00024,Na0.80Li0.13Ni0.20Mn0.67O2,18,900,1,Successful
D00025,Na0.80Li0.13Ni0.20Fe0.05Mn0.62O2,18,900,0.93,Successful
D00026,Na0.80Li0.13Ni0.20Fe0.10Mn0.57O2,18,900,0.59,Successful
D00027,Na0.80Li0.13Ni0.20Fe0.15Mn0.52O2,18,900,0.38,Successful
D00028,Na0.85Li0.08Ni0.30Mn0.62O2,24,1000,1,Successful
D00029,Na0.66Ni0.33Mn0.66O2,24,1000,1,Successful
D00030,Na0.66Li0.18Mn0.71Mg0.21Co0.08O2,12,850,1,Successful
D00031,Na0.67Fe0.5Mn0.5O2,12,900,1,Successful
D00032,Na0.67Li0.11Fe0.445Mn0.445O2,12,900,0,Successful
D00033,Na0.67Fe0.415Mn0.415Ti0.17O2,12,900,1,Successful
D00034,Na0.67Li0.11Fe0.36Mn0.36Ti0.17O2,12,900,0.63,Successful
D00035,Na0.55Ni0.1Fe0.1Mn0.8O2,12,950,1,Successful
D00036,Na0.67MnO2,12,950,1,Successful
D00037,Na0.67Ni0.33Mn0.67O2,12,800,1,Successful
D00038,Na0.67Ni0.22Mn0.56Fe0.11Mg0.11O2,12,800,1,Successful
D00039,Na0.78Ni0.22Mn0.44Fe0.11Mg0.11Li0.11O2,12,800,0.47,Successful
D00040,Na0.67Fe0.67Mn0.33O2,12,1000,1,Successful
D00041,Na0.67Ni0.33Mn0.67O2,12,900,1,Successful
D00042,Na0.67Ni0.33Mn0.62Ti0.05O2,12,900,0,Successful
D00043,Na0.67Ni0.33Mn0.57Ti0.10O2,12,900,0,Successful
D00044,Na0.67Ni0.33Mn0.52Ti0.15O2,12,900,0,Successful
D00045,Na0.5Cu0.1Ni0.2Fe0.2Mn0.5O2,15,900,1,Successful
D00046,Na0.8Cu0.1Ni0.2Fe0.2Mn0.5O2,15,900,0,Successful
D00047,Na1V1O2,8,700,0,Successful
D00048,Na0.71VO2,24,850,1,Successful
D00049,Na0.6MnO2,48,800,1,Successful
D00050,Na0.7MnO2,6,220,1,Successful
D00051,Na0.71CoO2,2,180,1,Successful
D00052,Na0.74CoO2,12,800,1,Successful
D00053,Na0.66Fe0.5Mn0.5O2,12,900,1,Successful
D00054,Na0.66Ni0.33Mn0.66O2,24,900,1,Successful
D00055,Na0.5Ni0.25Mn0.75O2,12,900,1,Successful
D00056,Na0.67MnO2,12,750,1,Successful
D00057,Na0.67Mn0.94Al0.06O2,12,750,1,Successful
D00058,Na0.67Mn0.89Al0.11O2,12,750,1,Successful
D00059,Na0.67Mn0.22Al0.78O2,12,750,1,Successful
D00060,Na0.67Mn0.94Zn0.06O2,12,900,1,Successful
D00061,Na0.67Mn0.89Zn0.11O2,12,900,1,Successful
D00062,Na0.67Co0.31Ti0.65O2,12,900,1,Successful
D00063,Na1Co0.33Ti0.66O2,12,900,1,Successful
D00064,Na0.67Co0.32Ti0.68O2,12,900,1,Successful
D00065,Na0.96Co0.32Ti0.68O2,12,900,1,Successful
D00066,Na0.67Mn0.33Fe0.33Co0.33O2,12,950,1,Successful
D00067,Na0.605Cr0.6Ti0.4O2,15,1000,1,Successful
D00068,Na0.66Mn0.5Fe0.25Co0.25O2,12,900,1,Successful
D00069,Na0.66Li0.18Fe0.12Mn0.7O2,12,850,1,Successful
D00070,Na0.70Mn0.60Ni0.30Co0.10O2,12,900,1,Successful
D00071,Na0.66Co0.66Mn0.22Ni0.11O2,12,800,1,Successful
D00072,Na0.7Mn0.7Ni0.3O2,12,900,1,Successful
D00073,Na0.7Mn0.7Ni0.2Co0.1O2,12,900,1,Successful
D00074,Na0.7Mn0.7Co0.3O2,12,900,1,Successful
D00075,Na0.87Li0.13Ni0.22Mn0.66O2,12,900,1,Successful
D00076,Na0.7Mn0.6Ni0.4O2,12,900,1,Successful
D00077,Na0.7Mn0.6Ni0.3Mg0.1O2,12,900,1,Successful
D00078,Na0.7Mn0.6Ni0.2Mg0.2O2,12,900,1,Successful
D00079,Na0.67Mn0.67Ni0.33O2,15,900,1,Successful
D00080,Na0.67Mn0.67Ni0.31Mg0.02O2,15,900,1,Successful
D00081,Na0.67Mn0.67Ni0.28Mg0.05O2,15,900,1,Successful
D00082,Na0.67Mn0.67Ni0.23Mg0.10O2,15,900,1,Successful
D00083,Na0.67Mn0.67Ni0.18Mg0.15O2,15,900,1,Successful
D00084,Na0.67Ni0.22Cu0.11Mn0.56Ti0.11O2,12,900,1,Successful
D00085,Na0.67Mn1O2,12,900,1,Successful
D00086,Na0.67Ni0.33Mn0.67O2,12,900,1,Successful
D00087,Na0.67Al0.1Mn0.9O2,12,900,1,Successful
D00088,Na0.67Cu0.1Mn0.9O2,12,900,1,Successful
D00089,Na0.67Zn0.1Mn0.9O2,12,900,1,Successful
D00090,Na0.67Zn0.2Mn0.8O2,12,900,1,Successful
D00091,Na1Li0.1Ni0.35Mn0.55O2,12,900,0,Successful
D00092,Na1Fe1O2,12,650,0,Successful
D00093,Na0.66Ni0.33Mn0.67O2,15,900,1,Successful
D00094,Na0.66Mn1O2,12,1050,1,Successful
D00095,Na0.66Mg0.28Mn0.72O2,10,800,1,Successful
D00096,Na0.67Mn1O2,15,900,1,Successful
D00097,Na0.67Cu0.14Mn0.86O2,16,900,1,Successful
D00098,Na0.67Cu0.25Mn0.75O2,17,900,1,Successful
D00099,Na0.67Cu0.33Mn0.66O2,18,900,1,Successful
D00100,Na1V1O2,10,800,0,Successful
D00101,Na0.5V1O2,10,800,1,Successful
D00102,Na0.66V1O2,10,800,1,Successful
D00103,Na1Ni0.5Mn0.5O2,12,800,0,Successful
D00104,Na0.95Li0.05Ni0.5Mn0.5O2,12,800,0.2,Successful
D00105,Na0.9Li0.1Ni0.5Mn0.5O2,12,800,0.4,Successful
D00106,Na0.8Li0.2Ni0.5Mn0.5O2,12,800,0.6,Successful
D00107,Na0.7Li0.3Ni0.5Mn0.5O2,12,800,0.8,Successful
D00108,Na0.5Li0.5Ni0.5Mn0.5O2,12,800,1,Successful
D00109,Na0.3Li0.7Ni0.5Mn0.5O2,12,800,1,Successful
D00110,Na0.1Li0.9Ni0.5Mn0.5O2,12,800,0,Successful
D00111,Na0.05Li0.95Ni0.5Mn0.5O2,12,800,0,Successful
D00112,Na0.80Mn0.60Ni0.30Cu0.10O2,12,850,0.94,Successful
D00113,Na0.80Mn0.60Ni0.30Cu0.10O2,12,900,0.86,Successful
D00114,Na0.80Mn0.60Ni0.30Cu0.10O2,12,950,0.73,Successful
D00115,Na0.80Mn0.60Ni0.30Cu0.10O2,12,1000,0.95,Successful
D00116,Na0.90Mn0.60Ni0.30Cu0.10O2,12,850,0.62,Successful
D00117,Na0.90Mn0.60Ni0.30Cu0.10O2,12,900,0.45,Successful
D00118,Na0.90Mn0.60Ni0.30Cu0.10O2,12,950,0.11,Successful
D00119,Na0.90Mn0.60Ni0.30Cu0.10O2,12,1000,0,Successful
D00120,Na1Mn0.60Ni0.30Cu0.10O2,12,850,0.18,Successful
D00121,Na1Mn0.60Ni0.30Cu0.10O2,12,900,0.11,Successful
D00122,Na1Mn0.60Ni0.30Cu0.10O2,12,950,0,Successful
D00123,Na1Mn0.60Ni0.30Cu0.10O2,12,1000,0,Successful
D00124,Na0.7V1O2,10,800,1,Successful
D00125,Na1V1O2,10,800,0,Successful
D00126,Na0.66Mg0.33Mn0.66O2,6,900,1,Successful
D00127,Na0.8Mn0.6Ni0.3Cu0.1O2,12,850,0.93,Successful
D00128,Na0.67Li0.15Ni0.18Mg0.02Mn0.8O2,12,950,0.96,Successful
D00129,Na0.67Ni0.37Mn0.42Ti0.21O2,12,870,1,Successful
D00130,Na0.84Ni0.38Mn0.41Ti0.21O2,12,870,0,Successful
D00131,Na0.73Ni0.38Mn0.41Ti0.21O2,12,870,0.33,Successful
D00132,Na0.75Cu0.1Fe0.1Mn0.8O2,2,600,1,Successful
D00133,Na0.75Cu0.1Fe0.3Mn0.6O2,2,600,1,Successful
D00134,Na0.75Cu0.2Fe0.1Mn0.76O2,2,600,1,Successful
D00135,Na0.75Cu0.1Fe0.5Mn0.4O2,2,600,0.62,Successful
D00136,Na0.75Cu0.2Fe0.3Mn0.5O2,2,600,0.75,Successful
D00137,Na0.75Cu0.3Fe0.1Mn0.6O2,2,600,0.97,Successful
D00138,Na0.75Cu0.2Fe0.2Mn0.6O2,2,600,0.99,Successful
D00139,Na0.6Li0.2Mn0.8O2,15,900,1,Successful
D00140,Na0.72Li0.24Mn0.76O2,15,700,1,Successful
D00141,NaNi0.5Mn0.5O2,15,950,0,Successful
D00142,Na0.95Ni0.4Fe0.15Mn0.45O2,15,950,0,Successful
D00143,NaNi0.5Mn0.35Ti0.15O2,15,950,0,Successful
D00144,Na0.95Ni0.4Fe0.15Mn0.3Ti0.15O2,15,950,0,Successful
D00145,Na0.28Mg0.11Mn0.89O2,6,900,1,Successful
D00146,Na0.67Al0.05Mn0.95O2,15,900,1,Successful
D00147,Na0.67Al0.1Mn0.9O2,15,900,1,Successful
D00148,Na0.67Al0.2Mn0.8O2,15,900,1,Successful
D00149,Na0.67Ni0.33Mn0.67O2,24,900,1,Successful
D00150,Na0.67Ni0.31Mg0.02Mn0.67O2,24,900,1,Successful
D00151,Na0.67Ni0.28Mg0.05Mn0.67O2,24,900,1,Successful
D00152,Na0.67Ni0.23Mg0.1Mn0.67O2,24,900,1,Successful
D00153,Na0.67Ni0.18Mg0.15Mn0.67O2,24,900,1,Successful
D00154,NaNi0.5Mn0.5O2,15,900,0,Successful
D00155,Na0.66Ni0.33Mn0.66O2,15,950,1,Successful
D00156,Na0.66Ni0.33Mn0.33Ti0.33O2,15,950,1,Successful
D00157,NaLi0.05Mn0.50Ni0.30Cu0.10Mg0.05O2,10,850,0,Successful
D00158,Na0.5Mn0.6Ni0.2Cu0.1Mg0.1O2,10,900,1,Successful
D00159,Na0.5Mn0.6Ni0.2Cu0.2O2,10,900,1,Successful
D00160,Na0.5Mn0.6Ni0.2Mg0.2O2,10,900,1,Successful
D00161,Na0.5Mn0.6Ni0.4O2,10,900,1,Successful
D00162,NaNi0.12Cu0.12Mg0.12Fe0.15Co0.15Mn0.1Ti0.1Sn0.1Sb0.04O2,15,900,0,Successful
D00163,NaNi0.2Fe0.35Mn0.45O2,12,900,0,Successful
D00164,NaNi0.2Fe0.35Mn0.43Zn0.02O2,12,900,0,Successful
D00165,NaNi0.2Fe0.35Mn0.40Zn0.05O2,12,900,0,Successful
D00166,NaNi0.2Fe0.35Mn0.38Zn0.07O2,12,900,0,Successful
D00167,NaNi0.2Fe0.35Mn0.35Zn0.1O2,12,900,0,Successful
D00168,Na0.67Ni0.3Mn0.5Fe0.2O2,12,900,1,Successful
D00169,Na0.67Mn0.5Co0.5O2,12,900,1,Successful
D00170,Na0.67Mn0.5Co0.4Fe0.1O2,12,900,1,Successful
D00171,Na0.67Mn0.5Co0.3Fe0.2O2,12,900,1,Successful
D00172,Na0.66Li0.18Mn0.8Fe0.2O2,6,1000,0.62,Successful
D00173,Na0.67Mg0.05Ni0.28Mn0.67O2,10,900,1,Successful
D00174,Na0.67Mg0.10Ni0.23Mn0.67O2,10,900,1,Successful
D00175,Na0.67Mg0.15Ni0.18Mn0.67O2,10,900,1,Successful
D00176,Na0.67Mg0.20Ni0.13Mn0.67O2,10,900,1,Successful
D00177,NaFe0.5Co0.5O2,12,900,0,Successful
D00178,Na0.67Ni0.37Mn0.42Ti0.21O2,12,870,1,Successful
D00179,Na0.84Ni0.38Mn0.41Ti0.21O2,12,870,0,Successful
D00180,Na0.73Ni0.38Mn0.41Ti0.21O2,12,870,0.33,Successful
D00181,Na0.9Mn0.55Ni0.35Mg0.1O2,12,900,0,Successful
D00182,Na0.9Mn0.60Ni0.35Mg0.05O2,12,900,0,Successful
D00183,Na0.9Mn0.65Ni0.35O2,12,900,0,Successful
D00184,Na0.5Ni0.2Mg0.1Mn0.7O2,12,900,1,Successful
D00185,Na0.5Ni0.1Mg0.2Mn0.7O2,12,900,1,Successful
D00186,Na0.67Ni0.25Mg0.1Mn0.65O2,12,900,1,Successful
D00187,Na0.67Ni0.25Mg0.1Mn0.65O2,12,900,1,Successful
D00188,NaNi0.33Mn0.33Fe0.33O2,12,900,0,Successful
D00189,NaNi0.328Mn0.33Fe0.33Zn0.005O2,12,900,0,Successful
D00190,NaNi0.323Mn0.33Fe0.33Zn0.01O2,12,900,0,Successful
D00191,Na0.67Ni0.33Mn0.67O2,10,900,1,Successful
D00192,Na0.67Mg0.1Ni0.23Mn0.67O2,10,900,1,Successful
D00193,Na0.67Sc0.1Ni0.23Mn0.67O2,10,900,1,Successful
D00194,Na0.95Fe0.33Ni0.33Mn0.33O2,24,900,0,Successful
D00195,Na1.00Fe0.33Ni0.33Mn0.33O2,24,900,0,Successful
D00196,Na1.05Fe0.33Ni0.33Mn0.33O2,24,900,0,Successful
D00197,NaFe0.32Ni0.33Mn0.33Al0.01O2,24,900,0,Successful
D00198,NaFe0.30Ni0.33Mn0.33Al0.03O2,24,900,0,Successful
D00199,NaFe0.28Ni0.33Mn0.33Al0.05O2,24,900,0,Successful
D00200,Na0.67Ni0.3Mn0.5Fe0.2O2,12,900,1,Successful
D00201,Na0.67Ni0.285Mn0.475Fe0.19Zr0.05O2,12,900,1,Successful
D00202,Na0.67Ni0.275Mn0.4625Fe0.185Zr0.075O2,12,900,1,Successful
D00203,Na0.67Ni0.27Mn0.45Fe0.18Zr0.1O2,12,900,1,Successful
D00204,NaNi0.4Mn0.4Fe0.2O2,12,900,0,Successful
D00205,NaNi0.38Mn0.38Fe0.19Ti0.05O2,12,900,0,Successful
D00206,NaNi0.36Mn0.36Fe0.18Ti0.1O2,12,900,0,Successful
D00207,NaNi0.34Mn0.34Fe0.17Ti0.15O2,12,900,0,Successful
D00208,NaNi0.32Mn0.32Fe0.16Ti0.2O2,12,900,0,Successful
